,UniqueID,,Course,
,24,,AMAT217,
,24,,AMAT219,
,24,,AMAT307,
,24,,AMAT309,
,24,,BMEN515,
,24,,CHEM209,
,24,,COMS363,
,24,,CPSC331,
,24,,ECON201,
,24,,ECON203,
,24,,ECON209,
,24,,ENCM339,
,24,,ENCM369,
,24,,ENCM467,
,24,,ENEE501,
,24,,ENEE577,
,24,,ENEL107,
,24,,ENEL327,
,24,,ENEL341,
,24,,ENEL343,
,24,,ENEL353,
,24,,ENEL361,
,24,,ENEL441,
,24,,ENEL453,
,24,,ENEL469,
,24,,ENEL471,
,24,,ENEL475,
,24,,ENEL476,
,24,,ENEL487,
,24,,ENEL525,
,24,,ENEL529,
,24,,ENEL571,
,24,,ENEL583,
,24,,ENEL589,
,24,,ENEL593,
,24,,ENEL597,
,24,,ENGG201,
,24,,ENGG205,
,24,,ENGG233,
,24,,ENGG251,
,24,,ENGG253,
,24,,ENGG319,
,24,,ENGG407,
,24,,ENGG481,
,24,,ENGG513,
,24,,MATH271,
,24,,PHYS259,
,24,,PHYS369,
,24,,STAS327,
,25,,ANTH203,
,25,,ANTH303,
,25,,ARHI201,
,25,,ARHI203,
,25,,ART241,
,25,,ASTR209,
,25,,CPSC203,
,25,,ECON201,
,25,,ECON203,
,25,,ECON321,
,25,,ECON327,
,25,,GEOG213,
,25,,GLGY209,
,25,,HTST307,
,25,,HTST317,
,25,,MATH205,
,25,,POLI279,
,25,,POLI283,
,25,,POLI359,
,25,,POLI381,
,25,,POLI399,
,25,,RELS200,
,25,,SOCI201,
,25,,SOCI303,
,25,,SOCI311,
,25,,SOCI313,
,25,,SOCI315,
,25,,SOCI331,
,25,,SOCI333,
,25,,SOCI365,
,25,,SOCI393,
,25,,STAS327,
,26,,AMAT219,
,26,,BCEM393,
,26,,BCEM443,
,26,,BIOL231,
,26,,BIOL233,
,26,,BIOL311,
,26,,BIOL313,
,26,,BIOL331,
,26,,BIOL515,
,26,,BOTA321,
,26,,CHEM201,
,26,,CHEM203,
,26,,CHEM351,
,26,,CHEM353,
,26,,CMMB343,
,26,,CMMB403,
,26,,CMMB411,
,26,,CMMB413,
,26,,CMMB561,
,26,,COMS363,
